num_expl;et
0;50
0;44
0;55
0;90
0;90
0;45
0;54
0;86
0;95
0;48
0;71
0;84
0;82
0;49
0;73
0;46
0;86
0;82
0;75
0;49
0;41
0;82
0;82
0;78
0;44
0;85
0;53
0;72
0;85
0;44
0;44
0;75
0;39
0;85
0;39
0;39
0;38
0;79
1;2103
0;37
0;79
0;71
0;39
0;59
0;37
0;79
0;39
0;36
0;37
0;74
0;36
0;78
0;37
0;36
0;37
0;73
0;36
0;77
0;37
0;61
0;74
0;82
0;42
0;81
0;48
0;83
0;89
0;90
0;85
0;87
0;87
0;85
0;84
0;107
0;81
0;96
0;80
0;81
0;84
0;85
0;61
0;43
0;42
0;41
0;42
0;43
