num_expl;et
0;41
0;43
0;78
0;78
0;63
0;63
0;53
0;62
0;67
0;62
0;67
0;75
0;39
0;69
0;63
0;73
0;72
1;2720
1;2331
0;98
0;82
0;67
0;78
0;73
0;80
0;78
0;80
0;78
0;85
0;79
0;80
0;74
0;80
0;76
0;45
0;40
0;42
0;39
0;65
0;75
0;80
0;81
1;1596
0;102
0;85
0;80
0;91
0;83
0;79
0;81
0;86
0;82
1;1572
0;78
0;77
0;74
0;76
0;76
0;79
0;73
0;78
0;77
0;77
0;78
0;78
0;78
0;76
1;2408
1;1718
0;85
0;52
0;39
1;1248
1;1068
1;1004
1;1005
1;904
1;879
1;886
1;902
1;2548
1;1954
1;1881
1;1445
1;1340
1;1236
1;1284
1;1351
1;1359
1;1363
1;1220
1;1200
1;1704
1;1472
1;1392
1;1535
1;1373
1;1459
1;1225
1;1208
1;1442
1;1394
1;1417
1;1537
0;113
1;1415
1;1357
1;1264
1;1229
0;115
0;116
0;101
0;73
0;70
0;87
0;57
0;57
0;61
1;2158
1;2545
1;2197
1;2188
1;2053
1;1906
1;1280
1;1207
0;90
0;122
0;129
0;50
0;63
0;71
0;74
0;50
0;72
1;2152
1;2327
1;1842
1;1774
1;1503
1;1447
1;989
1;906
0;121
0;125
0;121
0;53
0;72
0;93
0;46
0;46
0;100
1;1650
1;1823
1;1495
1;1496
1;1493
1;1444
1;871
1;813
0;145
0;135
0;104
0;66
0;86
0;82
0;58
0;79
0;56
1;1689
1;1765
1;1512
1;1491
1;1591
1;1567
1;915
1;926
1;3093
0;196
0;239
0;299
1;3307
1;2969
1;2072
0;103
0;106
0;108
1;1935
0;109
0;95
0;105
1;1938
0;93
0;129
0;100
1;2115
0;106
0;98
0;104
1;1888
1;1035
1;853
0;120
0;98
0;103
0;62
0;60
0;62
0;46
0;47
0;71
0;51
0;55
0;46
0;46
0;144
0;44
0;52
0;73
0;41
0;45
0;41
0;46
0;76
0;42
0;46
0;44
0;51
0;91
0;44
0;60
0;88
0;74
0;43
0;44
0;81
0;86
1;1744
0;43
0;45
0;44
0;39
0;81
0;39
0;41
1;2074
0;37
0;77
0;37
0;49
0;42
0;39
0;81
0;44
0;44
0;48
0;50
0;89
0;59
0;49
0;46
0;80
0;88
0;106
1;1155
0;98
0;90
0;106
0;72
0;49
0;56
1;1186
1;3207
1;1170
1;1129
1;1018
1;997
1;1142
1;1156
1;1156
1;1230
1;1232
1;1133
1;1056
1;1088
1;1101
1;1082
1;1173
0;73
0;48
1;1163
0;42
0;39
0;40
0;44
0;53
0;49
0;79
0;79
0;51
0;42
1;1076
0;37
0;41
0;44
0;55
0;43
0;42
0;43
0;44
0;51
0;43
1;1042
0;38
1;2162
1;1865
0;48
0;40
0;41
0;39
0;39
0;39
0;60
0;40
0;44
0;86
0;76
0;44
0;44
0;43
0;44
0;42
0;43
0;43
0;45
0;44
0;43
0;49
0;48
1;2059
1;1865
1;1029
1;949
1;994
1;983
1;975
1;952
1;918
1;905
1;967
1;929
1;958
1;1134
1;1059
1;1099
1;1009
1;1059
1;1229
1;992
1;956
1;975
1;1029
1;978
1;991
1;1278
1;1048
0;54
0;33
0;31
1;898
1;861
1;938
1;826
1;821
1;821
1;845
1;807
1;837
1;855
1;920
1;834
1;822
1;824
1;814
1;840
1;813
1;975
1;809
1;909
1;850
1;822
1;820
1;1267
1;942
1;851
1;826
1;940
1;905
1;832
1;863
1;949
1;812
1;822
1;808
1;869
0;100
0;100
0;67
0;70
0;51
0;49
1;1563
1;1822
1;2167
1;1406
1;1955
1;2026
1;1150
1;1823
1;1724
1;1128
1;918
0;101
0;179
0;73
0;56
0;97
0;101
1;1558
1;1909
1;2099
1;1102
1;1904
1;1155
1;1937
1;1784
1;1687
1;1001
1;954
0;104
0;162
0;68
0;123
0;52
0;96
1;1312
1;1877
1;2081
1;1096
1;1130
1;1905
1;1902
1;1707
1;1700
1;1045
1;966
0;110
0;160
0;71
0;110
0;61
0;105
1;1336
1;1871
1;2066
1;1096
1;1147
1;1922
1;1883
1;1767
1;1765
1;1017
1;977
1;1255
0;199
0;215
0;112
1;3922
1;3589
1;1291
0;94
1;2627
1;1273
1;1442
0;104
1;1271
1;1336
1;1201
0;97
1;1340
1;1321
1;1238
0;121
1;1330
1;1242
1;1300
0;175
1;1541
1;1629
1;1794
0;102
1;1323
1;1288
1;1272
0;91
1;1345
1;1298
1;1294
0;92
1;1342
1;1271
1;1316
0;124
1;1320
1;2099
1;2396
0;97
1;1345
1;2082
1;1251
0;100
1;1343
1;1325
0;63
0;35
0;52
0;103
0;67
0;57
0;56
0;69
0;69
0;55
0;67
0;52
0;51
0;56
0;56
0;56
1;1867
0;57
0;47
0;52
1;2230
1;2230
0;55
0;54
0;48
0;44
0;55
0;57
1;1154
1;1216
1;2015
1;2017
1;1168
1;1998
1;1999
1;1160
1;1138
1;1953
1;1989
1;1118
1;1153
1;1954
1;1949
1;1100
1;1925
1;1950
1;1137
1;1132
1;1924
1;1926
1;1085
1;1128
1;1900
1;1923
1;1140
1;1175
1;1970
0;2041
0;95
0;88
0;87
0;95
0;82
1;1128
0;81
0;80
0;90
0;94
0;83
1;1929
0;89
0;92
1;1278
0;89
1;1199
1;1889
1;1182
1;1941
1;1221
1;1233
1;1967
1;1134
1;1944
1;1936
0;55
0;45
0;45
0;44
0;44
0;47
0;47
0;67
0;44
0;43
1;1916
0;41
0;43
0;50
0;45
0;48
0;47
0;48
0;43
0;44
0;43
0;42
0;43
0;47
0;127
1;1757
0;92
1;1647
1;1635
1;1735
1;1724
1;1831
1;1105
1;2730
1;1158
1;1068
0;97
0;91
0;82
0;86
0;93
1;1002
0;77
0;86
0;94
0;83
0;100
1;1005
0;84
0;89
0;94
0;85
0;95
1;1016
0;84
0;83
0;97
0;87
0;90
1;983
0;87
0;95
0;85
0;176
1;1055
0;145
1;1011
1;1149
1;1287
1;1178
1;1147
1;1036
1;1191
1;1047
1;1100
1;1107
1;1107
1;1118
1;1110
1;1114
1;1089
1;1087
1;1068
1;1118
0;134
1;1104
0;79
1;1045
1;922
1;920
1;945
1;937
1;858
1;815
1;847
1;804
1;806
1;802
1;794
1;847
1;800
1;793
1;802
1;813
1;878
0;116
0;79
0;43
0;42
0;39
0;37
0;37
0;37
0;37
0;37
0;37
0;37
0;37
0;37
0;37
0;37
0;42
0;163
0;162
0;40
0;42
0;88
0;93
0;43
0;45
0;86
0;88
0;46
0;47
0;88
0;92
0;44
0;56
0;93
0;93
0;41
0;40
0;76
0;82
0;41
0;79
0;40
0;77
0;45
0;81
0;46
0;84
0;81
0;86
0;84
0;86
1;1994
0;86
0;43
0;78
0;82
1;2286
0;79
0;79
0;79
0;80
0;91
1;1329
1;1922
1;1044
1;970
1;1763
1;914
1;920
1;1688
1;914
1;1002
1;1748
1;899
1;964
1;1755
1;1044
1;1945
1;1211
1;1519
1;1521
1;1510
1;1536
1;1610
0;104
0;119
1;1265
1;1909
0;112
0;99
1;1561
1;2206
0;127
0;113
1;1753
1;1887
0;167
0;111
1;1149
1;1249
0;164
0;98
1;1269
1;1296
0;110
0;99
1;1185
1;1960
0;129
0;121
1;1272
1;1686
0;108
0;137
1;1227
1;1227
0;110
0;117
1;1194
1;1193
0;106
0;112
1;1875
1;1284
0;117
0;127
1;2031
1;1579
0;130
0;120
1;1333
1;1233
0;165
0;120
1;1230
1;1222
0;102
0;165
1;1280
1;1343
0;62
0;35
0;50
0;114
0;121
0;51
0;60
0;42
0;48
0;50
0;53
0;43
0;47
0;50
0;52
0;49
0;53
0;49
0;51
0;43
0;46
0;45
0;46
0;42
0;43
0;44
0;61
0;46
0;48
0;49
0;54
0;49
0;54
0;50
0;53
0;48
0;47
0;43
0;53
1;2122
1;2164
0;70
0;43
0;41
0;78
0;45
0;45
0;75
0;81
1;1956
1;1937
1;1979
1;1977
1;1808
1;1820
1;1765
1;1769
1;1848
1;1848
1;1945
1;1946
1;1917
1;1932
1;1959
1;1960
1;1910
1;1901
1;1988
1;1988
0;61
0;54
0;55
0;51
0;63
0;44
0;48
0;43
0;49
0;43
0;41
0;44
0;44
0;46
0;46
0;46
0;78
0;83
0;55
0;49
0;50
0;41
0;47
0;41
0;42
1;1956
1;1956
0;39
0;41
0;38
0;46
0;42
0;45
0;43
0;47
0;44
0;45
0;44
0;50
0;47
0;51
0;54
0;45
0;49
0;59
0;44
0;119
0;47
0;60
0;92
0;54
1;1861
0;1892
0;78
0;70
0;70
0;72
0;72
0;71
0;70
0;74
0;73
1;1576
1;1482
1;1494
1;1586
1;1578
1;1573
1;1606
1;1640
1;1594
0;47
0;38
0;37
0;37
0;37
0;38
0;55
0;48
0;37
0;40
0;37
0;36
0;37
0;34
0;39
0;40
0;39
0;40
0;39
0;39
0;40
0;42
0;41
0;119
0;75
1;868
1;846
1;833
1;823
1;818
1;852
1;822
1;826
1;823
1;1130
1;867
1;1996
1;996
1;929
1;947
1;928
1;946
1;912
1;921
1;908
1;899
1;817
1;811
0;110
0;83
0;38
0;37
0;40
0;36
0;43
0;38
0;36
0;36
0;36
0;40
0;37
0;82
0;112
0;111
0;168
0;109
0;53
0;63
0;58
0;95
0;51
0;94
0;106
0;102
0;39
0;91
0;53
0;81
0;107
0;53
0;90
0;88
0;42
0;94
1;1352
0;85
0;79
0;83
0;68
0;43
0;60
0;103
0;62
0;132
0;50
0;46
0;83
0;86
0;42
0;46
0;90
0;89
0;63
0;37
1;1037
0;91
0;52
0;106
0;49
0;46
0;83
0;91
0;50
0;92
0;93
0;94
0;81
0;59
0;88
1;1142
1;887
1;824
1;808
1;820
1;874
1;802
1;806
1;802
1;806
0;202
1;3573
0;190
0;180
0;196
0;81
0;139
1;1991
0;160
0;124
0;115
1;1954
0;103
0;106
0;198
1;1322
0;109
0;161
0;123
1;1955
0;103
0;105
0;171
1;1391
0;118
0;103
0;114
1;1565
0;139
0;105
0;116
1;1250
0;128
0;138
0;138
1;1563
0;115
0;103
0;113
1;1428
0;82
0;34
0;51
0;133
0;129
0;55
0;182
0;76
0;98
1;2301
1;2056
0;51
0;47
0;47
0;119
0;150
0;60
0;50
0;59
0;186
0;155
0;81
0;69
0;70
0;127
0;87
1;962
1;937
1;922
0;85
0;46
0;39
0;38
0;39
0;39
0;38
0;41
0;40
0;55
0;38
0;102
0;119
0;43
0;163
0;48
0;39
0;57
0;42
0;45
0;83
0;40
0;40
0;91
0;44
0;55
0;63
0;44
0;96
0;48
0;78
0;55
0;42
0;90
0;42
0;84
0;81
0;41
0;80
0;84
0;49
0;50
0;40
0;42
0;77
0;78
0;81
0;48
0;83
0;95
0;45
0;40
0;81
0;91
0;68
0;41
0;78
1;2026
0;68
0;101
0;48
0;60
0;82
0;129
0;145
0;83
0;80
0;86
0;88
0;82
0;77
0;84
0;80
0;69
0;78
0;53
0;77
0;40
0;82
0;41
0;77
0;41
0;80
0;77
0;797
0;80
0;100
1;2006
0;85
0;91
0;115
1;1313
1;984
1;1170
1;1075
1;957
1;944
1;1064
1;949
1;938
1;936
1;926
1;933
1;1197
1;1199
1;1087
1;1144
0;153
0;46
1;1412
0;125
0;194
0;161
1;2130
0;162
0;189
0;125
1;2115
0;204
0;179
0;128
1;1993
0;101
0;167
0;89
1;1201
0;97
0;113
0;93
1;1975
0;105
0;123
0;94
1;1918
0;112
0;114
0;120
1;3032
0;67
0;35
0;85
0;120
0;106
0;191
0;48
0;63
0;60
1;1581
1;1215
0;66
0;71
0;85
0;58
0;43
0;72
0;45
0;71
0;47
0;120
0;131
0;48
0;78
1;1263
1;990
1;970
0;90
0;56
0;39
0;38
0;39
0;47
0;38
0;47
0;47
0;67
0;100
0;73
0;163
0;155
0;48
0;46
0;90
0;110
0;87
0;44
0;98
0;45
0;94
0;96
0;42
0;83
0;90
0;123
0;83
0;96
0;117
0;80
1;1337
0;79
0;58
0;85
0;79
0;64
0;86
0;81
0;80
0;71
0;81
0;83
0;84
0;65
0;88
0;71
0;88
0;87
0;44
0;82
0;83
0;84
0;38
0;78
0;82
0;85
0;42
0;76
0;44
0;45
1;1580
0;54
0;69
0;40
0;94
0;39
0;118
0;81
0;42
0;40
0;76
0;86
0;86
0;39
0;44
0;86
0;89
0;89
0;84
0;88
0;84
0;80
0;78
0;84
0;76
0;81
0;84
0;40
1;1775
1;1106
1;971
1;1034
1;1237
1;939
1;923
1;923
1;830
1;808
1;875
1;820
1;824
1;810
1;803
1;810
1;857
1;847
0;102
0;96
0;95
0;99
0;110
0;104
0;112
0;115
0;119
0;107
0;109
0;99
0;143
0;97
0;105
0;95
0;115
0;112
0;126
0;124
0;138
0;132
0;171
0;149
0;160
1;1059
1;880
0;175
0;200
0;160
0;161
0;93
0;93
0;92
0;91
1;1043
1;1391
0;102
0;97
0;85
0;87
0;93
0;94
0;111
1;1225
0;84
0;93
0;82
0;77
0;48
1;996
1;1065
1;1238
1;968
1;938
1;944
1;946
1;1634
1;984
0;928
0;49
0;55
0;36
0;128
0;143
0;38
0;183
0;183
0;36
0;37
0;82
0;88
0;37
0;81
0;88
0;36
0;36
0;88
0;86
0;86
0;88
0;61
0;79
0;79
0;84
0;86
0;69
0;80
0;79
0;37
0;85
0;82
0;79
0;80
0;79
0;77
0;74
0;80
0;77
0;80
0;80
0;73
0;79
0;77
0;82
0;77
0;74
0;76
0;79
0;79
0;77
0;72
0;76
0;79
0;79
0;78
0;74
0;81
0;81
0;79
0;79
0;81
0;81
0;79
0;79
0;79
0;49
0;90
0;91
0;97
0;75
0;80
0;76
0;83
0;82
0;80
0;72
0;75
0;81
0;81
0;75
0;80
0;78
0;79
0;80
0;74
0;77
0;79
0;109
0;153
0;149
0;129
0;76
0;75
0;84
0;82
0;100
0;273
0;289
0;291
0;288
0;279
0;174
0;112
0;112
0;101
0;162
0;109
0;118
0;110
0;159
0;114
0;119
0;119
0;158
0;176
0;177
0;181
0;164
0;108
0;88
0;144
0;161
0;159
0;162
0;171
0;162
0;101
0;115
0;154
0;153
0;84
0;38
0;81
0;116
0;166
0;163
0;163
0;76
0;96
0;93
0;116
0;40
0;40
0;77
0;82
0;77
0;39
0;77
0;82
0;41
0;85
0;73
0;62
0;74
0;73
0;62
0;80
0;90
0;78
0;44
0;55
0;40
0;82
0;79
0;41
0;69
0;43
0;71
0;79
0;54
0;39
0;76
0;40
0;79
0;80
0;39
0;70
0;39
0;49
0;78
0;40
0;40
0;75
0;40
0;40
0;75
0;45
0;40
0;73
0;39
0;39
0;78
0;40
0;39
0;77
0;40
0;40
0;77
0;44
0;79
0;44
0;80
0;84
0;45
0;86
0;50
0;89
0;49
0;90
0;92
0;111
0;90
0;99
0;99
0;98
0;90
0;88
0;90
0;98
0;93
0;94
0;82
0;53
0;50
0;47
0;57
0;53
0;49
0;62
0;41
0;43
0;58
0;57
0;49
0;46
0;41
0;42
0;46
0;46
0;40
0;42
0;44
0;46
0;48
0;43
0;44
0;43
0;42
0;45
0;50
0;40
0;40
0;42
0;44
0;50
0;45
0;40
0;39
0;44
0;47
0;39
0;43
0;44
0;188
0;41
0;39
0;55
0;41
0;147
0;87
0;98
0;80
0;84
0;73
0;74
0;77
0;75
0;71
0;76
0;75
0;80
0;79
0;79
0;77
0;76
0;84
0;78
0;74
0;76
0;76
0;77
0;81
0;74
0;175
0;117
0;72
0;46
0;41
1;1089
1;906
1;952
1;1003
1;950
1;942
1;952
1;923
1;856
1;865
1;866
1;917
1;862
1;871
1;952
1;1032
1;898
1;911
1;2194
1;939
1;923
1;923
1;906
0;102
0;72
0;39
0;39
0;40
0;35
0;34
0;35
0;35
0;35
0;34
0;34
0;34
0;90
0;114
0;106
0;117
0;80
0;43
0;50
0;41
0;79
0;40
0;81
0;43
0;82
0;81
0;39
0;57
0;56
0;79
0;38
0;38
0;39
0;41
0;40
0;44
0;79
0;79
0;80
0;79
0;37
0;44
0;38
1;1830
0;78
0;54
0;83
0;44
0;41
0;43
0;83
0;40
0;80
0;72
0;74
0;52
0;92
0;58
0;41
0;76
0;79
0;82
0;60
0;65
0;59
0;80
0;50
1;1527
0;132
0;94
1;1124
1;971
1;850
1;805
1;843
1;926
1;902
1;862
1;907
1;912
0;105
1;3242
0;192
0;188
0;184
0;126
0;168
1;1254
0;115
0;94
0;170
1;1355
0;91
0;122
0;109
1;1223
0;102
0;100
0;113
1;1392
0;120
0;102
0;126
1;1351
0;101
0;97
0;118
1;1212
0;100
0;92
0;106
1;1283
0;136
0;219
0;108
1;1227
0;156
0;183
0;118
1;1880
0;81
0;35
0;73
0;166
0;106
0;180
0;70
0;63
0;45
0;45
0;97
0;45
0;45
0;47
0;47
0;82
0;50
0;50
0;86
0;50
0;50
0;42
0;47
0;84
0;44
0;45
0;42
0;78
0;43
0;41
0;41
0;78
0;47
0;47
0;43
0;44
0;78
0;57
0;58
0;87
0;61
0;80
0;47
0;46
0;84
0;44
0;41
0;41
0;40
0;115
0;42
0;54
0;40
1;2261
0;45
0;79
0;41
0;46
0;41
0;47
0;82
0;87
0;94
0;103
0;93
0;95
0;100
0;99
0;89
0;85
1;2000
1;1940
1;1776
1;3537
1;2310
1;2048
1;1980
1;1820
1;1925
0;64
0;48
0;46
0;54
0;54
0;55
0;44
0;43
1;1951
0;41
0;42
0;46
0;68
0;77
0;55
0;69
0;46
0;48
0;41
0;42
0;40
0;40
0;67
0;41
0;40
0;39
0;53
0;67
0;52
0;74
0;45
0;69
0;46
0;75
0;189
0;75
1;2042
0;74
0;73
0;118
0;70
0;58
0;54
0;45
0;72
0;43
0;44
0;41
0;40
0;42
0;144
0;71
1;1962
1;1927
1;1672
1;1689
1;1772
1;1614
1;1527
1;1739
1;2065
1;1885
1;937
1;906
1;930
1;872
1;1044
1;1214
1;1079
1;945
1;878
1;939
1;866
1;866
1;960
1;1043
1;883
1;865
1;866
1;914
1;977
1;1071
1;1360
1;1914
1;1156
0;111
0;86
0;62
0;35
0;33
1;1068
1;930
1;916
1;1062
1;924
1;827
1;846
1;837
1;843
1;849
1;994
1;868
1;933
1;850
1;843
1;833
1;840
1;1099
1;960
1;2136
1;854
1;827
1;841
0;109
0;84
0;38
0;38
0;41
0;59
0;38
0;46
0;35
0;35
0;35
0;35
0;35
0;71
0;155
0;156
0;83
0;86
0;84
0;87
0;90
0;91
0;95
0;57
0;82
0;96
0;106
0;86
0;87
0;90
0;93
0;91
0;93
1;1368
0;69
0;59
0;85
0;112
0;108
1;1912
0;92
0;92
0;90
0;85
0;88
0;84
0;57
0;59
0;92
0;113
1;1116
0;114
0;80
0;85
0;82
0;88
0;90
0;90
0;63
1;1533
0;45
1;1226
1;1102
1;1212
1;1223
1;1215
1;1114
1;1156
1;1083
1;1124
1;1015
1;1187
1;1150
1;1201
1;1092
1;1214
1;1174
1;1079
1;1234
1;1121
1;1118
0;211
1;3770
1;3811
0;208
0;215
0;144
0;115
1;1478
1;2099
0;101
0;123
1;1385
1;2113
0;96
0;115
1;2259
1;1452
0;103
0;123
1;1708
1;2682
0;106
0;193
1;2366
1;2120
0;111
0;114
1;1368
1;2137
0;105
0;115
1;1591
1;2035
0;108
0;117
1;1267
1;1990
0;105
0;122
1;1980
1;1239
0;107
0;112
1;1351
1;1193
0;113
0;120
1;1316
1;1293
0;61
0;38
0;72
0;157
0;64
0;198
0;61
0;57
0;119
0;48
0;87
0;54
0;53
0;92
0;60
0;55
0;98
0;49
1;1405
0;84
0;56
0;47
0;85
0;52
0;58
0;91
0;69
0;90
0;52
0;53
0;91
0;55
0;55
1;2387
0;95
0;48
1;1156
0;43
0;86
0;46
0;85
0;100
0;95
0;98
0;99
1;1168
0;91
0;102
0;98
0;92
1;2067
0;87
1;1193
1;1192
1;1938
1;1139
1;1142
1;1980
1;1092
1;1886
1;1070
1;1149
1;2004
1;1134
1;1153
1;2007
1;1141
1;2552
1;3372
1;1129
1;2048
1;1175
1;1162
1;1973
0;58
1;1192
0;49
0;55
0;54
0;52
0;54
0;46
0;44
0;55
0;59
0;51
1;1161
0;47
0;57
0;46
1;1945
0;48
0;52
0;49
0;47
0;46
0;52
0;55
0;52
1;1134
0;44
0;130
0;151
1;1945
1;1103
1;1091
0;1825
0;80
0;77
0;75
0;73
0;73
0;79
0;78
0;72
0;78
0;103
0;77
0;75
0;75
0;74
0;76
0;77
0;76
0;86
0;87
0;83
0;82
0;84
0;82
0;83
0;77
0;79
0;79
0;79
0;79
0;86
0;85
0;77
0;115
0;102
1;1034
1;1017
1;966
1;893
1;1100
1;1081
0;49
0;47
0;39
0;39
0;41
0;43
0;48
0;39
1;975
0;34
0;42
0;41
0;46
0;47
0;37
0;37
0;42
0;47
0;46
0;40
1;918
0;34
0;37
0;40
0;45
0;123
0;82
1;954
1;915
1;884
1;915
1;830
1;857
1;820
1;828
1;832
1;824
1;949
1;1095
1;926
1;882
1;905
0;110
0;69
0;39
0;39
0;41
0;38
0;38
0;38
0;39
0;34
0;34
0;34
0;34
0;34
0;43
0;45
0;133
0;47
0;58
0;231
0;48
0;179
0;62
0;42
0;97
0;99
0;96
0;43
0;72
0;64
0;81
0;86
0;83
0;76
0;95
0;90
0;70
0;76
0;91
0;92
0;41
0;59
1;1339
0;38
0;80
0;82
0;38
0;41
0;83
0;84
0;41
0;41
0;42
0;42
0;86
0;86
0;51
0;98
0;100
0;57
0;55
1;1214
1;903
1;933
1;933
1;815
1;894
1;1050
1;914
0;145
0;146
0;100
0;158
1;2802
0;93
0;124
0;201
1;1339
0;113
0;159
0;203
1;2318
0;55
0;35
0;51
0;163
0;177
0;202
0;67
0;99
0;102
1;1481
1;1208
0;54
0;48
0;46
0;167
0;159
1;1076
1;1111
1;1038
0;101
0;86
0;82
0;81
0;72
0;72
0;71
0;70
0;74
0;55
0;38
0;38
0;37
0;54
0;33
0;36
0;57
0;43
0;51
0;37
0;103
0;93
0;97
0;39
0;39
0;48
0;40
0;107
0;106
0;44
0;39
0;41
0;41
0;53
0;89
0;86
0;59
0;50
0;50
0;92
0;92
0;45
0;42
0;43
0;39
0;84
0;71
0;85
0;43
0;48
0;85
0;85
0;83
0;50
0;86
0;92
0;96
1;1485
0;72
0;80
0;81
0;76
0;86
0;86
0;98
0;96
0;87
0;87
0;93
0;107
0;109
0;96
0;74
0;44
1;1060
0;85
0;85
0;46
0;38
0;39
0;85
0;88
0;44
0;78
0;44
0;92
0;93
0;50
0;91
0;93
0;93
0;86
0;85
0;85
0;83
0;109
0;107
0;109
1;1078
1;992
1;843
1;837
1;818
1;924
1;895
1;833
1;827
1;824
1;872
1;818
1;828
1;807
1;861
1;811
0;271
0;296
0;284
1;3410
0;204
0;122
0;111
0;176
0;173
1;1257
0;190
0;169
0;168
1;1841
0;103
0;160
0;160
1;1283
0;103
0;167
0;165
1;1343
0;146
0;172
0;172
1;1473
0;138
0;191
0;193
1;1605
0;81
0;44
0;45
0;115
0;172
0;181
0;64
0;119
0;119
1;1695
1;1648
0;61
0;50
0;49
0;117
0;86
1;2246
1;1850
1;1276
0;125
0;85
0;109
0;109
0;94
0;98
0;95
0;97
0;122
0;78
0;46
0;46
0;45
0;52
0;45
0;45
0;62
0;47
0;45
0;46
0;50
0;131
0;131
0;175
0;52
0;52
0;110
0;110
0;125
0;58
0;56
0;112
0;113
0;49
0;108
0;51
0;52
0;103
0;103
0;106
0;51
0;54
0;107
0;112
0;107
0;61
0;67
0;106
0;107
0;64
1;1620
0;75
0;69
0;96
0;103
0;95
0;100
0;100
0;86
0;86
0;102
0;102
0;85
0;89
0;108
0;108
0;89
0;102
0;51
0;104
0;104
0;91
0;106
0;54
0;103
0;103
0;58
0;57
0;59
0;113
0;113
0;57
