;seed;moves;score;hints;efficiency;hints_w_implicit;avg_explicit_info;avg_implicit_info
147;139.0;73.0;14.0;33.0;0.42424242424242425;0.3333333333333333;0.8852099220001234;0.11422355533564056
148;469.0;75.0;13.0;35.0;0.37142857142857144;0.3142857142857143;0.9184394767141408;0.14773651048164807
149;162.0;74.0;13.0;34.0;0.38235294117647056;0.29411764705882354;0.8456435998072076;0.11128077300795146
150;452.0;74.0;15.0;34.0;0.4411764705882353;0.29411764705882354;0.8918829671864545;0.11909464772559358
151;124.0;70.0;17.0;30.0;0.5666666666666667;0.26666666666666666;1.0264493707631366;0.11813560147834253
152;433.0;72.0;15.0;32.0;0.46875;0.34375;0.8544484565152141;0.09127558606101173
153;67.0;74.0;13.0;34.0;0.38235294117647056;0.23529411764705882;0.9929371609954316;0.07264093303105165
154;235.0;71.0;16.0;31.0;0.5161290322580645;0.3870967741935484;0.9675710901228965;0.12625739772329259
155;242.0;73.0;14.0;33.0;0.42424242424242425;0.30303030303030304;0.8894250270156164;0.08567785675920683
156;48.0;71.0;17.0;31.0;0.5483870967741935;0.3548387096774194;1.0158075969905511;0.16024537003217115
157;218.0;70.0;15.0;30.0;0.5;0.3;1.002693269973996;0.12423329093120875
158;49.0;71.0;16.0;31.0;0.5161290322580645;0.3225806451612903;0.9415638579322091;0.13669495929493145
159;322.0;72.0;15.0;32.0;0.46875;0.3125;0.9174126586692161;0.11245878434084887
160;58.0;73.0;15.0;33.0;0.45454545454545453;0.45454545454545453;0.8946633961888093;0.1670354642786555
161;128.0;71.0;16.0;31.0;0.5161290322580645;0.25806451612903225;0.9992406198446738;0.08912086281216532
162;180.0;70.0;18.0;30.0;0.6;0.3;1.038252251946143;0.10962651797489897
163;94.0;72.0;15.0;32.0;0.46875;0.40625;0.9211314046137684;0.12250385394658513
164;210.0;72.0;15.0;32.0;0.46875;0.34375;0.8773538766034952;0.12632433119187111
165;14.0;74.0;14.0;34.0;0.4117647058823529;0.29411764705882354;0.9517311029458595;0.09558703273250906
166;328.0;67.0;14.0;27.0;0.5185185185185185;0.25925925925925924;1.0712925645340066;0.08881259291377917
167;440.0;70.0;15.0;30.0;0.5;0.3;0.9434843577349377;0.08878705830239565
168;203.0;74.0;15.0;34.0;0.4411764705882353;0.20588235294117646;0.9081777256521343;0.09574330897362666
169;72.0;72.0;16.0;32.0;0.5;0.25;1.012525222347529;0.09259991725288286
170;117.0;74.0;15.0;34.0;0.4411764705882353;0.4411764705882353;0.897352255499706;0.14648049215477554
171;166.0;73.0;15.0;33.0;0.45454545454545453;0.3333333333333333;0.81577454511576;0.13080984800577272
172;392.0;72.0;17.0;32.0;0.53125;0.21875;1.0058619881000646;0.08197654032493439
173;199.0;66.0;16.0;26.0;0.6153846153846154;0.34615384615384615;1.0529185439925444;0.186953578020799
174;306.0;72.0;14.0;32.0;0.4375;0.25;1.0021958890724492;0.09276851199934243
175;304.0;72.0;17.0;32.0;0.53125;0.375;0.9032596753626502;0.1434289455079449
176;347.0;70.0;15.0;30.0;0.5;0.3333333333333333;0.8077595236734424;0.12148128631559464
177;121.0;72.0;16.0;32.0;0.5;0.28125;0.9489360669937389;0.1315473442044572
178;160.0;72.0;13.0;32.0;0.40625;0.375;0.9851369324390957;0.14590335944693317
179;357.0;73.0;14.0;33.0;0.42424242424242425;0.3939393939393939;0.9623537835938949;0.12986111050988394
180;127.0;75.0;13.0;35.0;0.37142857142857144;0.2857142857142857;0.8905022101751625;0.10638913815758466
181;397.0;69.0;16.0;29.0;0.5517241379310345;0.41379310344827586;0.9823036211401972;0.18879954327387805
182;167.0;71.0;17.0;31.0;0.5483870967741935;0.3548387096774194;0.9596519823449527;0.10241470038849594
183;462.0;73.0;14.0;33.0;0.42424242424242425;0.3333333333333333;0.9021387467356432;0.12425365288235038
184;402.0;72.0;18.0;32.0;0.5625;0.34375;0.9186817562805801;0.14217072113240567
185;219.0;73.0;16.0;33.0;0.48484848484848486;0.5151515151515151;0.9272079548723531;0.23239113643338977
186;426.0;73.0;14.0;33.0;0.42424242424242425;0.3333333333333333;0.9450198146436078;0.12441713869709904
187;409.0;71.0;17.0;31.0;0.5483870967741935;0.2903225806451613;0.997052745386246;0.11802280078447623
188;222.0;72.0;16.0;32.0;0.5;0.5;0.9220486492671749;0.20708468195335647
